nm/Band,Pan,Coastal (MS7),Blue (MS4),Green (MS3),Yellow (MS6),Red (MS2),Red Edge (MS5),NIR1 (MS1),NIR2 (MS8),SWIR1,SWIR2,SWIR3,SWIR4,SWIR5,SWIR6,SWIR7,SWIR8,,Inputs:,
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,WV3_Standard_Detector+OTU Radiance Response.xlsx
351,2.44E-09,1.26E-09,1.21E-09,4.35E-10,9.31E-11,1.95E-09,1.23E-10,9.68E-10,1.85E-08,0,0,0,0,0,0,0,0,,,"[Spectral Response, Peak Normalize (for Plot)]"
352,3.29E-09,2.55E-09,2.27E-09,5.56E-10,3.64E-10,4.46E-09,2.64E-10,1.89E-09,3.50E-08,0,0,0,0,0,0,0,0,,2,AUX_Normalized_Total_Spectral_Output_20130926T113452.xlsx
353,8.91E-09,5.57E-09,5.75E-09,1.10E-09,3.64E-10,1.15E-08,4.29E-10,4.37E-09,9.00E-08,0,0,0,0,0,0,0,0,,,[Peak Normalized Transmission (Response per Watt)]
354,1.71E-08,7.01E-09,8.14E-09,2.55E-09,3.82E-10,1.07E-08,8.28E-10,5.54E-09,1.32E-07,0,0,0,0,0,0,0,0,,,
355,1.55E-08,1.30E-08,1.09E-08,3.06E-09,2.80E-10,9.47E-09,1.53E-09,9.79E-09,2.26E-07,0,0,0,0,0,0,0,0,,,
356,2.53E-08,2.49E-08,1.41E-08,2.93E-09,2.93E-11,8.64E-09,1.51E-09,1.53E-08,3.22E-07,0,0,0,0,0,0,0,0,,,
357,2.50E-08,2.03E-08,1.54E-08,4.37E-09,6.05E-10,2.24E-08,2.15E-09,1.39E-08,3.44E-07,0,0,0,0,0,0,0,0,,,
358,4.09E-08,2.86E-08,1.66E-08,4.25E-09,4.39E-10,3.36E-08,1.18E-09,1.95E-08,3.09E-07,0,0,0,0,0,0,0,0,,,
359,3.74E-08,3.10E-08,2.64E-08,3.72E-09,4.25E-12,1.74E-08,3.06E-09,2.03E-08,4.43E-07,0,0,0,0,0,0,0,0,,,
360,3.82E-08,3.50E-08,2.57E-08,8.63E-09,4.37E-12,5.81E-09,2.03E-09,2.06E-08,5.38E-07,0,0,0,0,0,0,0,0,,,
361,4.87E-08,2.85E-08,2.50E-08,1.06E-08,2.58E-09,1.51E-09,3.95E-09,2.47E-08,4.64E-07,0,0,0,0,0,0,0,0,,,
362,4.96E-08,3.69E-08,3.61E-08,5.28E-09,1.21E-09,8.85E-09,7.51E-09,3.66E-08,4.00E-07,0,0,0,0,0,0,0,0,,,
363,6.49E-08,4.19E-08,4.23E-08,1.07E-08,2.16E-10,3.65E-08,5.30E-09,3.92E-08,5.40E-07,0,0,0,0,0,0,0,0,,,
364,5.38E-08,4.33E-08,3.87E-08,7.84E-09,1.36E-10,6.28E-08,3.75E-09,3.35E-08,4.21E-07,0,0,0,0,0,0,0,0,,,
365,6.10E-08,5.13E-08,3.25E-08,9.26E-09,7.26E-12,3.42E-08,4.38E-09,4.49E-08,3.15E-07,0,0,0,0,0,0,0,0,,,
366,6.36E-08,6.14E-08,4.90E-08,8.23E-09,7.85E-12,7.25E-09,1.53E-09,4.66E-08,5.62E-07,0,0,0,0,0,0,0,0,,,
367,8.50E-08,6.05E-08,3.61E-08,8.43E-09,8.47E-12,7.65E-09,2.08E-09,4.32E-08,9.08E-07,0,0,0,0,0,0,0,0,,,
368,6.27E-08,5.49E-08,3.87E-08,1.83E-08,9.07E-12,7.47E-09,1.40E-09,4.01E-08,1.34E-06,0,0,0,0,0,0,0,0,,,
369,1.04E-07,5.74E-08,3.92E-08,1.80E-08,4.63E-09,1.58E-08,2.20E-09,3.83E-08,1.29E-06,0,0,0,0,0,0,0,0,,,
370,7.95E-08,6.46E-08,6.20E-08,1.75E-08,1.96E-09,8.94E-08,9.37E-10,5.12E-08,1.26E-06,0,0,0,0,0,0,0,0,,,
371,1.10E-07,6.67E-08,4.16E-08,8.22E-09,1.09E-11,7.29E-08,2.88E-09,6.29E-08,9.60E-07,0,0,0,0,0,0,0,0,,,
372,1.40E-07,9.90E-08,5.32E-08,2.32E-08,1.14E-11,3.29E-08,5.70E-09,1.54E-07,8.56E-07,0,0,0,0,0,0,0,0,,,
373,1.19E-07,8.49E-08,5.75E-08,1.09E-08,1.20E-11,7.88E-09,1.10E-08,6.89E-07,1.02E-06,0,0,0,0,0,0,0,0,,,
374,1.64E-07,7.85E-08,5.97E-08,2.35E-08,9.89E-10,1.29E-07,2.55E-08,1.65E-06,7.99E-07,0,0,0,0,0,0,0,0,,,
