plume_id,plume_dt,s2_dt,l8_dt,scene_id,s2_path,l8_path,max_diff_seconds
GAO20230824t172827p0000-A,2023-08-24T17:28:27+00:00,2023-08-25T17:18:59.024000+00:00,2023-08-24T17:21:01.323725+00:00,LC09_L2SP_030038_20230824_20230826_02_T1,../carbonmapper_data_s2_l2a/GAO20230824t172827p0000-A/s2_20230825T171859Z.tif,../carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-A/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,85832
GAO20230824t172827p0000-A,2023-08-24T17:28:27+00:00,2023-08-25T17:18:59.024000+00:00,2023-08-24T17:21:01.323725+00:00,LC09_L2SP_030038_20230824_20230826_02_T1,../carbonmapper_data_s2_l2a/GAO20230824t172827p0000-A/s2_20230825T171859Z.tif,../carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-A/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,85832
GAO20230824t172827p0000-B,2023-08-24T17:28:27+00:00,2023-08-25T17:18:59.024000+00:00,2023-08-24T17:21:01.323725+00:00,LC09_L2SP_030038_20230824_20230826_02_T1,../carbonmapper_data_s2_l2a/GAO20230824t172827p0000-B/s2_20230825T171859Z.tif,../carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-B/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,85832
GAO20230824t172827p0000-B,2023-08-24T17:28:27+00:00,2023-08-25T17:18:59.024000+00:00,2023-08-24T17:21:01.323725+00:00,LC09_L2SP_030038_20230824_20230826_02_T1,../carbonmapper_data_s2_l2a/GAO20230824t172827p0000-B/s2_20230825T171859Z.tif,../carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-B/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,85832
GAO20230824t172827p0000-C,2023-08-24T17:28:27+00:00,2023-08-25T17:18:59.024000+00:00,2023-08-24T17:21:01.323725+00:00,LC09_L2SP_030038_20230824_20230826_02_T1,../carbonmapper_data_s2_l2a/GAO20230824t172827p0000-C/s2_20230825T171859Z.tif,../carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-C/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,85832
GAO20230824t172827p0000-C,2023-08-24T17:28:27+00:00,2023-08-25T17:18:59.024000+00:00,2023-08-24T17:21:01.323725+00:00,LC09_L2SP_030038_20230824_20230826_02_T1,../carbonmapper_data_s2_l2a/GAO20230824t172827p0000-C/s2_20230825T171859Z.tif,../carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-C/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,85832
GAO20230824t172827p0000-D,2023-08-24T17:28:27+00:00,2023-08-25T17:18:59.024000+00:00,2023-08-24T17:21:01.323725+00:00,LC09_L2SP_030038_20230824_20230826_02_T1,../carbonmapper_data_s2_l2a/GAO20230824t172827p0000-D/s2_20230825T171859Z.tif,../carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-D/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,85832
GAO20230824t172827p0000-D,2023-08-24T17:28:27+00:00,2023-08-25T17:18:59.024000+00:00,2023-08-24T17:21:01.323725+00:00,LC09_L2SP_030038_20230824_20230826_02_T1,../carbonmapper_data_s2_l2a/GAO20230824t172827p0000-D/s2_20230825T171859Z.tif,../carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-D/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,85832
GAO20230824t172827p0000-E,2023-08-24T17:28:27+00:00,2023-08-25T17:18:59.024000+00:00,2023-08-24T17:21:01.323725+00:00,LC09_L2SP_030038_20230824_20230826_02_T1,../carbonmapper_data_s2_l2a/GAO20230824t172827p0000-E/s2_20230825T171859Z.tif,../carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-E/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,85832
GAO20230824t172827p0000-E,2023-08-24T17:28:27+00:00,2023-08-25T17:18:59.024000+00:00,2023-08-24T17:21:01.323725+00:00,LC09_L2SP_030038_20230824_20230826_02_T1,../carbonmapper_data_s2_l2a/GAO20230824t172827p0000-E/s2_20230825T171859Z.tif,../carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-E/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,85832
