,emit_granule_id
65,EMIT_L2A_RFL_001_20230820T192855_2323213_028
66,EMIT_L2A_RFL_001_20230820T192855_2323213_028
67,EMIT_L2A_RFL_001_20230820T192855_2323213_028
68,EMIT_L2A_RFL_001_20230820T192855_2323213_028
69,EMIT_L2A_RFL_001_20230820T192855_2323213_028
70,EMIT_L2A_RFL_001_20230820T192855_2323213_028
71,EMIT_L2A_RFL_001_20230820T192855_2323213_028
72,EMIT_L2A_RFL_001_20230820T192855_2323213_028
73,EMIT_L2A_RFL_001_20230820T192855_2323213_028
74,EMIT_L2A_RFL_001_20230820T192855_2323213_028
75,EMIT_L2A_RFL_001_20230820T192855_2323213_028
76,EMIT_L2A_RFL_001_20230820T192855_2323213_028
77,EMIT_L2A_RFL_001_20230820T192855_2323213_028
78,EMIT_L2A_RFL_001_20230820T192855_2323213_028
79,EMIT_L2A_RFL_001_20230820T192855_2323213_028
80,EMIT_L2A_RFL_001_20230820T192855_2323213_028
81,EMIT_L2A_RFL_001_20230820T192855_2323213_028
82,EMIT_L2A_RFL_001_20230820T192855_2323213_028
83,EMIT_L2A_RFL_001_20230820T192855_2323213_028
84,EMIT_L2A_RFL_001_20230820T192855_2323213_028
85,EMIT_L2A_RFL_001_20230820T192855_2323213_028
86,EMIT_L2A_RFL_001_20230820T192855_2323213_028
87,EMIT_L2A_RFL_001_20230820T192855_2323213_028
88,EMIT_L2A_RFL_001_20230820T192855_2323213_028
89,EMIT_L2A_RFL_001_20230820T192855_2323213_028
90,EMIT_L2A_RFL_001_20230820T192855_2323213_028
91,EMIT_L2A_RFL_001_20230820T192855_2323213_028
92,EMIT_L2A_RFL_001_20230820T192855_2323213_028
93,EMIT_L2A_RFL_001_20230820T192855_2323213_028
94,EMIT_L2A_RFL_001_20230820T192855_2323213_028
95,EMIT_L2A_RFL_001_20230820T192855_2323213_028
96,EMIT_L2A_RFL_001_20230820T192855_2323213_028
97,EMIT_L2A_RFL_001_20230820T192855_2323213_028
98,EMIT_L2A_RFL_001_20230820T192855_2323213_028
99,EMIT_L2A_RFL_001_20230820T192855_2323213_028
100,EMIT_L2A_RFL_001_20230820T192855_2323213_028
101,EMIT_L2A_RFL_001_20230820T192855_2323213_028
102,EMIT_L2A_RFL_001_20230820T192855_2323213_028
103,EMIT_L2A_RFL_001_20230820T192855_2323213_028
104,EMIT_L2A_RFL_001_20230820T192855_2323213_028
105,EMIT_L2A_RFL_001_20230820T192855_2323213_028
106,EMIT_L2A_RFL_001_20230820T192855_2323213_028
107,EMIT_L2A_RFL_001_20230820T192855_2323213_028
108,EMIT_L2A_RFL_001_20230820T192855_2323213_028
109,EMIT_L2A_RFL_001_20230820T192855_2323213_028
110,EMIT_L2A_RFL_001_20230820T192855_2323213_028
111,EMIT_L2A_RFL_001_20230820T192855_2323213_028
112,EMIT_L2A_RFL_001_20230820T192855_2323213_028
113,EMIT_L2A_RFL_001_20230820T192855_2323213_028
114,EMIT_L2A_RFL_001_20230820T192855_2323213_028
115,EMIT_L2A_RFL_001_20230820T192855_2323213_028
116,EMIT_L2A_RFL_001_20230820T192855_2323213_028
117,EMIT_L2A_RFL_001_20230820T192843_2323213_027
118,EMIT_L2A_RFL_001_20230820T192843_2323213_027
119,EMIT_L2A_RFL_001_20230820T192855_2323213_028
120,EMIT_L2A_RFL_001_20230820T192855_2323213_028
121,EMIT_L2A_RFL_001_20230820T192855_2323213_028
122,EMIT_L2A_RFL_001_20230820T192855_2323213_028
123,EMIT_L2A_RFL_001_20230820T192855_2323213_028
124,EMIT_L2A_RFL_001_20230820T192855_2323213_028
125,EMIT_L2A_RFL_001_20230820T192855_2323213_028
126,EMIT_L2A_RFL_001_20230820T192855_2323213_028
127,EMIT_L2A_RFL_001_20230820T192855_2323213_028
128,EMIT_L2A_RFL_001_20230820T192855_2323213_028
129,EMIT_L2A_RFL_001_20230820T192855_2323213_028
130,EMIT_L2A_RFL_001_20230820T192855_2323213_028
131,EMIT_L2A_RFL_001_20230820T192855_2323213_028
132,EMIT_L2A_RFL_001_20230820T192855_2323213_028
133,EMIT_L2A_RFL_001_20230820T192855_2323213_028
134,EMIT_L2A_RFL_001_20230820T192855_2323213_028
135,EMIT_L2A_RFL_001_20230820T192855_2323213_028
136,EMIT_L2A_RFL_001_20230820T192855_2323213_028
137,EMIT_L2A_RFL_001_20230820T192855_2323213_028
138,EMIT_L2A_RFL_001_20230820T192855_2323213_028
139,EMIT_L2A_RFL_001_20230820T192855_2323213_028
140,EMIT_L2A_RFL_001_20230820T192855_2323213_028
141,EMIT_L2A_RFL_001_20230820T192855_2323213_028
142,EMIT_L2A_RFL_001_20230820T192855_2323213_028
143,EMIT_L2A_RFL_001_20230820T192855_2323213_028
144,EMIT_L2A_RFL_001_20230820T192855_2323213_028
145,EMIT_L2A_RFL_001_20230820T192855_2323213_028
146,EMIT_L2A_RFL_001_20230820T192855_2323213_028
147,EMIT_L2A_RFL_001_20230820T192855_2323213_028
148,EMIT_L2A_RFL_001_20230820T192855_2323213_028
149,EMIT_L2A_RFL_001_20230820T192855_2323213_028
150,EMIT_L2A_RFL_001_20230820T192855_2323213_028
151,EMIT_L2A_RFL_001_20230820T192855_2323213_028
152,EMIT_L2A_RFL_001_20230820T192855_2323213_028
153,EMIT_L2A_RFL_001_20230820T192855_2323213_028
154,EMIT_L2A_RFL_001_20230820T192855_2323213_028
155,EMIT_L2A_RFL_001_20230820T192855_2323213_028
156,EMIT_L2A_RFL_001_20230820T192855_2323213_028
157,EMIT_L2A_RFL_001_20230820T192855_2323213_028
158,EMIT_L2A_RFL_001_20230820T192855_2323213_028
159,EMIT_L2A_RFL_001_20230820T192855_2323213_028
160,EMIT_L2A_RFL_001_20230820T192855_2323213_028
161,EMIT_L2A_RFL_001_20230820T192855_2323213_028
162,EMIT_L2A_RFL_001_20230820T192855_2323213_028
163,EMIT_L2A_RFL_001_20230820T192855_2323213_028
164,EMIT_L2A_RFL_001_20230820T192855_2323213_028
165,EMIT_L2A_RFL_001_20230820T192855_2323213_028
166,EMIT_L2A_RFL_001_20230820T192855_2323213_028
167,EMIT_L2A_RFL_001_20230820T192855_2323213_028
168,EMIT_L2A_RFL_001_20230820T192855_2323213_028
169,EMIT_L2A_RFL_001_20230820T192855_2323213_028
170,EMIT_L2A_RFL_001_20230820T192855_2323213_028
171,EMIT_L2A_RFL_001_20230820T192855_2323213_028
172,EMIT_L2A_RFL_001_20230820T192855_2323213_028
173,EMIT_L2A_RFL_001_20230820T192855_2323213_028
174,EMIT_L2A_RFL_001_20230820T192855_2323213_028
175,EMIT_L2A_RFL_001_20230820T192855_2323213_028
176,EMIT_L2A_RFL_001_20230820T192855_2323213_028
177,EMIT_L2A_RFL_001_20230820T192855_2323213_028
178,EMIT_L2A_RFL_001_20230820T192855_2323213_028
179,EMIT_L2A_RFL_001_20230820T192855_2323213_028
180,EMIT_L2A_RFL_001_20230820T192855_2323213_028
181,EMIT_L2A_RFL_001_20230820T192855_2323213_028
182,EMIT_L2A_RFL_001_20230820T192855_2323213_028
183,EMIT_L2A_RFL_001_20230820T192855_2323213_028
184,EMIT_L2A_RFL_001_20230820T192855_2323213_028
185,EMIT_L2A_RFL_001_20230820T192855_2323213_028
186,EMIT_L2A_RFL_001_20230820T192855_2323213_028
187,EMIT_L2A_RFL_001_20230820T192855_2323213_028
188,EMIT_L2A_RFL_001_20230820T192855_2323213_028
189,EMIT_L2A_RFL_001_20230820T192855_2323213_028
190,EMIT_L2A_RFL_001_20230820T192855_2323213_028
191,EMIT_L2A_RFL_001_20230820T192855_2323213_028
192,EMIT_L2A_RFL_001_20230820T192855_2323213_028
193,EMIT_L2A_RFL_001_20230820T192855_2323213_028
194,EMIT_L2A_RFL_001_20230820T192855_2323213_028
195,EMIT_L2A_RFL_001_20230820T192855_2323213_028
196,EMIT_L2A_RFL_001_20230820T192855_2323213_028
197,EMIT_L2A_RFL_001_20230820T192855_2323213_028
198,EMIT_L2A_RFL_001_20230820T192855_2323213_028
199,EMIT_L2A_RFL_001_20230820T192855_2323213_028
200,EMIT_L2A_RFL_001_20230820T192855_2323213_028
201,EMIT_L2A_RFL_001_20230820T192855_2323213_028
202,EMIT_L2A_RFL_001_20230820T192855_2323213_028
203,EMIT_L2A_RFL_001_20230820T192855_2323213_028
204,EMIT_L2A_RFL_001_20230820T192855_2323213_028
205,EMIT_L2A_RFL_001_20230820T192855_2323213_028
206,EMIT_L2A_RFL_001_20230820T192855_2323213_028
207,EMIT_L2A_RFL_001_20230820T192855_2323213_028
208,EMIT_L2A_RFL_001_20230820T192855_2323213_028
209,EMIT_L2A_RFL_001_20230820T192855_2323213_028
210,EMIT_L2A_RFL_001_20230820T192855_2323213_028
211,EMIT_L2A_RFL_001_20230820T192855_2323213_028
212,EMIT_L2A_RFL_001_20230820T192855_2323213_028
213,EMIT_L2A_RFL_001_20230820T192855_2323213_028
214,EMIT_L2A_RFL_001_20230820T192855_2323213_028
215,EMIT_L2A_RFL_001_20230820T192855_2323213_028
216,EMIT_L2A_RFL_001_20230820T192855_2323213_028
217,EMIT_L2A_RFL_001_20230820T192855_2323213_028
218,EMIT_L2A_RFL_001_20230820T192855_2323213_028
219,EMIT_L2A_RFL_001_20230820T192855_2323213_028
220,EMIT_L2A_RFL_001_20230820T192855_2323213_028
221,EMIT_L2A_RFL_001_20230820T192855_2323213_028
222,EMIT_L2A_RFL_001_20230820T192855_2323213_028
223,EMIT_L2A_RFL_001_20230820T192855_2323213_028
224,EMIT_L2A_RFL_001_20230820T192843_2323213_027
225,EMIT_L2A_RFL_001_20230820T192843_2323213_027
226,EMIT_L2A_RFL_001_20230820T192855_2323213_028
227,EMIT_L2A_RFL_001_20230820T192855_2323213_028
228,EMIT_L2A_RFL_001_20230820T192855_2323213_028
229,EMIT_L2A_RFL_001_20230820T192855_2323213_028
230,EMIT_L2A_RFL_001_20230820T192855_2323213_028
231,EMIT_L2A_RFL_001_20230820T192843_2323213_027
232,EMIT_L2A_RFL_001_20230820T192843_2323213_027
233,EMIT_L2A_RFL_001_20230820T192843_2323213_027
234,EMIT_L2A_RFL_001_20230820T192855_2323213_028
235,EMIT_L2A_RFL_001_20230824T175337_2323612_023
236,EMIT_L2A_RFL_001_20230824T175337_2323612_023
237,EMIT_L2A_RFL_001_20230824T175349_2323612_024
238,EMIT_L2A_RFL_001_20230824T175349_2323612_024
239,EMIT_L2A_RFL_001_20230824T175337_2323612_023
240,EMIT_L2A_RFL_001_20230824T175337_2323612_023
241,EMIT_L2A_RFL_001_20230824T175337_2323612_023
242,EMIT_L2A_RFL_001_20230824T175337_2323612_023
243,EMIT_L2A_RFL_001_20230824T175337_2323612_023
