,plume_id,l89_path,l89_-7_path,l89_pre_path,l89_pre_pre_path,std_ok,plume_latitude,plume_longitude,datetime
0,GAO20191022t151126p0000-D,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_L2SR_by_gee/GAO20191022t151126p0000-D_l89_sr_LANDSAT_8_20191022T173354Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_-7_L2SR_by_gee/GAO20191022t151126p0000-D_l89_prev_LANDSAT_8_20191006T173352Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t151126p0000-D_minus90_l89_sr_LANDSAT_8_20190727T172720Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t151126p0000-D_minus360_l89_sr_LANDSAT_8_20181028T172713Z.tif,0,32.050034,-104.05484,2019-10-22T15:11:26+00
1,GAO20191022t151126p0000-F,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_L2SR_by_gee/GAO20191022t151126p0000-F_l89_sr_LANDSAT_8_20191022T173354Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_-7_L2SR_by_gee/GAO20191022t151126p0000-F_l89_prev_LANDSAT_8_20191006T173352Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t151126p0000-F_minus90_l89_sr_LANDSAT_8_20190727T172720Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t151126p0000-F_minus360_l89_sr_LANDSAT_8_20181028T172713Z.tif,0,32.026716,-104.11718,2019-10-22T15:11:26+00
2,GAO20191022t151126p0000-G,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_L2SR_by_gee/GAO20191022t151126p0000-G_l89_sr_LANDSAT_8_20191022T173354Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_-7_L2SR_by_gee/GAO20191022t151126p0000-G_l89_prev_LANDSAT_8_20191006T173352Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t151126p0000-G_minus90_l89_sr_LANDSAT_8_20190727T172720Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t151126p0000-G_minus360_l89_sr_LANDSAT_8_20181028T172713Z.tif,0,32.020843,-104.30284,2019-10-22T15:11:26+00
3,GAO20191022t151126p0000-H,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_L2SR_by_gee/GAO20191022t151126p0000-H_l89_sr_LANDSAT_8_20191022T173354Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_-7_L2SR_by_gee/GAO20191022t151126p0000-H_l89_prev_LANDSAT_8_20191006T173352Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t151126p0000-H_minus90_l89_sr_LANDSAT_8_20190727T172720Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t151126p0000-H_minus360_l89_sr_LANDSAT_8_20181028T172713Z.tif,0,32.048253,-104.06084,2019-10-22T15:11:26+00
4,GAO20191022t154327p0000-E,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_L2SR_by_gee/GAO20191022t154327p0000-E_l89_sr_LANDSAT_8_20191022T173354Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_-7_L2SR_by_gee/GAO20191022t154327p0000-E_l89_prev_LANDSAT_8_20191006T173352Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t154327p0000-E_minus90_l89_sr_LANDSAT_8_20190727T172720Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t154327p0000-E_minus360_l89_sr_LANDSAT_8_20181028T172713Z.tif,0,32.044423,-104.04932,2019-10-22T15:43:27+00
5,GAO20191022t154327p0000-G,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_L2SR_by_gee/GAO20191022t154327p0000-G_l89_sr_LANDSAT_8_20191022T173354Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_-7_L2SR_by_gee/GAO20191022t154327p0000-G_l89_prev_LANDSAT_8_20191006T173352Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t154327p0000-G_minus90_l89_sr_LANDSAT_8_20190727T172720Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t154327p0000-G_minus360_l89_sr_LANDSAT_8_20181028T172713Z.tif,0,32.035425,-104.0789,2019-10-22T15:43:27+00
6,GAO20191022t154327p0000-H,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_L2SR_by_gee/GAO20191022t154327p0000-H_l89_sr_LANDSAT_8_20191022T173354Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_-7_L2SR_by_gee/GAO20191022t154327p0000-H_l89_prev_LANDSAT_8_20191006T173352Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t154327p0000-H_minus90_l89_sr_LANDSAT_8_20190727T172720Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t154327p0000-H_minus360_l89_sr_LANDSAT_8_20181028T172713Z.tif,0,32.048148,-104.06056,2019-10-22T15:43:27+00
7,GAO20191022t154327p0000-I,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_L2SR_by_gee/GAO20191022t154327p0000-I_l89_sr_LANDSAT_8_20191022T173354Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_-7_L2SR_by_gee/GAO20191022t154327p0000-I_l89_prev_LANDSAT_8_20191006T173352Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t154327p0000-I_minus90_l89_sr_LANDSAT_8_20190727T172720Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t154327p0000-I_minus360_l89_sr_LANDSAT_8_20181028T172713Z.tif,0,32.026433,-104.11803,2019-10-22T15:43:27+00
8,GAO20191022t154327p0000-J,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_L2SR_by_gee/GAO20191022t154327p0000-J_l89_sr_LANDSAT_8_20191022T173354Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_-7_L2SR_by_gee/GAO20191022t154327p0000-J_l89_prev_LANDSAT_8_20191006T173352Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t154327p0000-J_minus90_l89_sr_LANDSAT_8_20190727T172720Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191022t154327p0000-J_minus360_l89_sr_LANDSAT_8_20181028T172713Z.tif,0,32.020844,-104.30269,2019-10-22T15:43:27+00
9,GAO20191031t160141p0000-A,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_L2SR_by_gee/GAO20191031t160141p0000-A_l89_sr_LANDSAT_8_20191031T172743Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_-7_L2SR_by_gee/GAO20191031t160141p0000-A_l89_prev_LANDSAT_8_20190929T172740Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191031t160141p0000-A_minus90_l89_sr_LANDSAT_8_20190727T172720Z.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_l89_L2SR/raw_data_dir_L89_90360_L2SR_by_gee/GAO20191031t160141p0000-A_minus360_l89_sr_LANDSAT_8_20181113T172715Z.tif,0,31.288519,-103.41781,2019-10-31T16:01:41+00
