plume_id,error
GAO20230819t193458p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t193458p0000-A/plume.tif
GAO20230819t193458p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t193458p0000-G/plume.tif
GAO20230819t193458p0000-N,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t193458p0000-N/plume.tif
GAO20230819t193458p0000-T,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t193458p0000-T/plume.tif
GAO20230819t194058p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t194058p0000-A/plume.tif
GAO20230819t194058p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t194058p0000-B/plume.tif
GAO20230819t194058p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t194058p0000-F/plume.tif
GAO20230819t194733p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t194733p0000-A/plume.tif
GAO20230819t194733p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t194733p0000-F/plume.tif
GAO20230819t195323p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t195323p0000-C/plume.tif
GAO20230819t195323p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t195323p0000-F/plume.tif
GAO20230819t195323p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t195323p0000-G/plume.tif
GAO20230819t200018p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t200018p0000-A/plume.tif
GAO20230819t200018p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t200018p0000-B/plume.tif
GAO20230819t200018p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230819t200018p0000-C/plume.tif
GAO20230820t160517p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t160517p0000-A/plume.tif
GAO20230820t161142p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t161142p0000-A/plume.tif
GAO20230820t161142p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t161142p0000-B/plume.tif
GAO20230820t161902p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t161902p0000-A/plume.tif
GAO20230820t161902p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t161902p0000-B/plume.tif
GAO20230820t161902p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t161902p0000-C/plume.tif
GAO20230820t162503p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t162503p0000-A/plume.tif
GAO20230820t162503p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t162503p0000-B/plume.tif
GAO20230820t163227p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t163227p0000-A/plume.tif
GAO20230820t163227p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t163227p0000-B/plume.tif
GAO20230820t163912p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t163912p0000-A/plume.tif
GAO20230820t163912p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t163912p0000-B/plume.tif
GAO20230820t163912p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t163912p0000-C/plume.tif
GAO20230820t163912p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t163912p0000-D/plume.tif
GAO20230820t164622p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t164622p0000-A/plume.tif
GAO20230820t164622p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t164622p0000-B/plume.tif
GAO20230820t164622p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t164622p0000-C/plume.tif
GAO20230820t165237p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t165237p0000-C/plume.tif
GAO20230820t165237p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t165237p0000-D/plume.tif
GAO20230820t165949p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t165949p0000-A/plume.tif
