plume_id,l89_minus90,l89_minus360
ang20160910t185702-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160910t191651-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160910t192242-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160910t193531-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160910t193531-B,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160910t193531-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160910t193531-F,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160910t201644-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160910t204409-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160910t204409-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160910t205021-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160910t205021-E,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160910t214407-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160911t174834-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160911t174834-D,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160911t174834-E,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160911t213902-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t195241-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t201952-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t201952-B,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t201952-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t201952-D,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t202647-B,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t202647-F,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t204141-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t204933-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t204933-B,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t204933-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t205614-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t205614-B,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t205614-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t205614-D,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t220638-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160912t225718-B,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t190124-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t202108-B,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t203326-B,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t203326-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t204410-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t204410-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t204410-D,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t205656-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t210755-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t210755-B,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t210755-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t210755-D,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t212101-E,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t213245-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t213245-B,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t213245-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t213245-F,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t214607-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t214607-F,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t221144-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t221144-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t221144-D,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160913t221144-F,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160914t184032-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160914t184032-B,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160914t184032-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160914t185349-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160914t185349-B,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160914t185349-C,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160914t192133-B,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160914t193619-A,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160914t193619-D,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
ang20160914t200611-H,l8_minus90_LC80410362016158LGN01.tif,l8_minus360_LC80410362015267LGN01.tif
