plume_id,datetime,sensor,raw_path,used_path,status,message
emi20231010t052236p04020-C,2023-10-10T05:22:36+00,S2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/emi20231010t052236p04020-C/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/emi20231010t052236p04020-C/s2_0_std_512.tif,ok,
emi20231010t052236p04020-C,2023-10-10T05:22:36+00,L89,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/data_dir_l89_L2SR/L89_-790360_512std/emi20231010t052236p04020-C/l89_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/data_dir_l89_L2SR/L89_-790360_512std/emi20231010t052236p04020-C/l89_0_std_512.tif,ok,
emi20231010t052236p04020-C,2023-10-10T05:22:36+00,EMIT,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/EMIT_simulated_WV3_L2A_60resolution_NOnorm/emi20231010t052236p04020-C_sim_WV3.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/EMIT_simulated_WV3_L2A_60resolution_NOnorm/emi20231010t052236p04020-C_sim_WV3.tif,ok,
emi20231010t052236p04020-C,2023-10-10T05:22:36+00,S5P,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20231009T072551_20231009T090720_31027_03_020500_20231010T233758.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20231009T072551_20231009T090720_31027_03_020500_20231010T233758.nc,ok,
emi20240130t112621p08007-B,2024-01-30T11:26:21+00,S2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/emi20240130t112621p08007-B/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/emi20240130t112621p08007-B/s2_0_std_512.tif,ok,
emi20240130t112621p08007-B,2024-01-30T11:26:21+00,L89,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/data_dir_l89_L2SR/L89_-790360_512std/emi20240130t112621p08007-B/l89_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/data_dir_l89_L2SR/L89_-790360_512std/emi20240130t112621p08007-B/l89_0_std_512.tif,ok,
emi20240130t112621p08007-B,2024-01-30T11:26:21+00,EMIT,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/EMIT_simulated_WV3_L2A_60resolution_NOnorm/emi20240130t112621p08007-B_sim_WV3.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/EMIT_simulated_WV3_L2A_60resolution_NOnorm/emi20240130t112621p08007-B_sim_WV3.tif,ok,
emi20240130t112621p08007-B,2024-01-30T11:26:21+00,S5P,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20240130T120638_20240130T134808_32633_03_020600_20240202T045014.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20240130T120638_20240130T134808_32633_03_020600_20240202T045014.nc,ok,
emi20240621t082746p06048-B,2024-06-21T08:27:46+00,S2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/emi20240621t082746p06048-B/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/emi20240621t082746p06048-B/s2_0_std_512.tif,ok,
emi20240621t082746p06048-B,2024-06-21T08:27:46+00,L89,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/data_dir_l89_L2SR/L89_-790360_512std/emi20240621t082746p06048-B/l89_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/data_dir_l89_L2SR/L89_-790360_512std/emi20240621t082746p06048-B/l89_0_std_512.tif,ok,
