plume_id,latitude,longitude,datetime,has_s2,has_l89,has_emit,has_s5p,s2_0_std_512,s2_-90_std_512,s2_-360_std_512,s2_plume_mask_512_path,l89_0_std_512,l89_-90_std_512,l89_-360_std_512,l89_mask_512_path,emit_0_simulated_512_path,emit_-90_simulated_512_path,emit_-180_simulated_512_path,S5p_path,s5p_minus90_path,s5p_minus360_path,nearest_iy,nearest_ix,pos_centers
GAO20191020t151740p0000-A,31.087769,-101.34025,2019-10-20T15:17:40+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t151740p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t151740p0000-A/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t151740p0000-A/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t151740p0000-A/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t153619p0000-A,31.058043,-101.86319,2019-10-20T15:36:19+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-A/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-A/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t153619p0000-A/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t153619p0000-B,31.062984,-101.50541,2019-10-20T15:36:19+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-B/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-B/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-B/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t153619p0000-B/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t153619p0000-C,31.0748638,-101.39618,2019-10-20T15:36:19+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-C/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-C/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-C/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t153619p0000-C/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t153619p0000-D,31.087929,-101.34022,2019-10-20T15:36:19+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-D/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-D/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-D/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t153619p0000-D/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t155133p0000-A,31.0629493,-101.50558,2019-10-20T15:51:33+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t155133p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t155133p0000-A/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t155133p0000-A/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t155133p0000-A/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t161013p0000-A,31.0243397,-102.24257,2019-10-20T16:10:13+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t161013p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t161013p0000-A/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t161013p0000-A/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t161013p0000-A/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t161013p0000-B,31.0234005,-102.24419,2019-10-20T16:10:13+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t161013p0000-B/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t161013p0000-B/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t161013p0000-B/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t161013p0000-B/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t163829p0000-A,31.845004,-101.7723,2019-10-20T16:38:29+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-A/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-A/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t163829p0000-A/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t163829p0000-B,31.8299163,-101.80811,2019-10-20T16:38:29+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-B/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-B/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-B/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t163829p0000-B/resized_512x512.tif,,,,,,,,,,,,,
