plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,emission_cmf_type,plume_bounds,instrument,mission_phase,published_at,modified,emission_version,processing_software,gsd,sensitivity_mode,off_nadir,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,con_tif,rgb_tif,rgb_png,s2_path
GAO20191020t151740p0000-A,31.087769,-101.34025,2019-10-20T15:17:40+00,Oil & Gas (1B2),CH4,mfm,"[-101.34522529859035, 31.08661200040691, -101.335258778467, 31.09514682290039]",GAO,production,2023-05-14 20:27:47.148053+00:00,2025-03-25 23:18:43.021198+00:00,jpl,,,,,1927.80692,766.11035,4.202,,,,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t151740p0000-A/GAO20191020t151740p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t151740p0000-A/GAO20191020t151740p0000-A_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2019/10/20/GAO20191020t151740p0000-A/GAO20191020t151740p0000-A_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t151740p0000-A/GAO20191020t151740p0000-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t151740p0000-A/GAO20191020t151740p0000-A_l3a-vis-ch4-mf-v002_rgb.png,carbon_mapper_data/CM_S2_L2A/GAO20191020t151740p0000-A/s2.tif
GAO20191020t153619p0000-A,31.058043,-101.86319,2019-10-20T15:36:19+00,Oil & Gas (1B2),CH4,mfm,"[-101.86588378188989, 31.05582727678369, -101.86045139912727, 31.06052136070602]",GAO,production,2023-05-14 20:27:47.139460+00:00,2025-03-25 23:18:17.473923+00:00,jpl,,,,,267.935245,171.569253,3.057,,,,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-A/GAO20191020t153619p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-A/GAO20191020t153619p0000-A_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2019/10/20/GAO20191020t153619p0000-A/GAO20191020t153619p0000-A_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-A/GAO20191020t153619p0000-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-A/GAO20191020t153619p0000-A_l3a-vis-ch4-mf-v002_rgb.png,carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-A/s2.tif
GAO20191020t153619p0000-B,31.062984,-101.50541,2019-10-20T15:36:19+00,Oil & Gas (1B2),CH4,mfm,"[-101.507258545615, 31.061818994538637, -101.50182732261408, 31.066471326693414]",GAO,production,2023-05-14 20:29:35.915340+00:00,2025-03-25 23:21:06.911215+00:00,jpl,,,,,317.940452,148.527959,3.415,,,,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-B/GAO20191020t153619p0000-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-B/GAO20191020t153619p0000-B_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2019/10/20/GAO20191020t153619p0000-B/GAO20191020t153619p0000-B_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-B/GAO20191020t153619p0000-B_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-B/GAO20191020t153619p0000-B_l3a-vis-ch4-mf-v002_rgb.png,carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-B/s2.tif
GAO20191020t153619p0000-C,31.0748638,-101.39618,2019-10-20T15:36:19+00,Oil & Gas (1B2),CH4,mfm,"[-101.39886839288523, 31.07311383109635, -101.39343683858596, 31.0778063461846]",GAO,production,2023-05-14 20:26:54.207701+00:00,2025-03-25 23:16:35.923535+00:00,jpl,,,,,286.555884,107.613513,3.981,,,,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-C/GAO20191020t153619p0000-C_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-C/GAO20191020t153619p0000-C_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2019/10/20/GAO20191020t153619p0000-C/GAO20191020t153619p0000-C_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-C/GAO20191020t153619p0000-C_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-C/GAO20191020t153619p0000-C_l3a-vis-ch4-mf-v002_rgb.png,carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-C/s2.tif
GAO20191020t153619p0000-D,31.087929,-101.34022,2019-10-20T15:36:19+00,Oil & Gas (1B2),CH4,mfm,"[-101.3427508498363, 31.08625778152686, -101.33727181641993, 31.0909498603112]",GAO,production,2023-05-14 20:28:40.219461+00:00,2025-03-25 23:19:23.371131+00:00,jpl,,,,,1870.43075,706.582333,4.202,,,,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-D/GAO20191020t153619p0000-D_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-D/GAO20191020t153619p0000-D_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2019/10/20/GAO20191020t153619p0000-D/GAO20191020t153619p0000-D_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-D/GAO20191020t153619p0000-D_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t153619p0000-D/GAO20191020t153619p0000-D_l3a-vis-ch4-mf-v002_rgb.png,carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-D/s2.tif
GAO20191020t155133p0000-A,31.0629493,-101.50558,2019-10-20T15:51:33+00,Oil & Gas (1B2),CH4,mfm,"[-101.51286981771827, 31.060064506819263, -101.5014403817301, 31.06985476531701]",GAO,production,2023-05-14 20:28:40.218652+00:00,2025-03-25 23:19:21.552660+00:00,jpl,,,,,454.73692,206.211509,3.415,,,,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t155133p0000-A/GAO20191020t155133p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t155133p0000-A/GAO20191020t155133p0000-A_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2019/10/20/GAO20191020t155133p0000-A/GAO20191020t155133p0000-A_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t155133p0000-A/GAO20191020t155133p0000-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t155133p0000-A/GAO20191020t155133p0000-A_l3a-vis-ch4-mf-v002_rgb.png,carbon_mapper_data/CM_S2_L2A/GAO20191020t155133p0000-A/s2.tif
GAO20191020t161013p0000-A,31.0243397,-102.24257,2019-10-20T16:10:13+00,Oil & Gas (1B2),CH4,mfm,"[-102.24529861181102, 31.022372243977863, -102.23986711652016, 31.027026737764757]",GAO,production,2023-05-14 20:29:35.911512+00:00,2025-03-25 23:20:57.329410+00:00,jpl,,,,,82.2721963,23.5255691,1.34,,,,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t161013p0000-A/GAO20191020t161013p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t161013p0000-A/GAO20191020t161013p0000-A_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2019/10/20/GAO20191020t161013p0000-A/GAO20191020t161013p0000-A_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t161013p0000-A/GAO20191020t161013p0000-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t161013p0000-A/GAO20191020t161013p0000-A_l3a-vis-ch4-mf-v002_rgb.png,carbon_mapper_data/CM_S2_L2A/GAO20191020t161013p0000-A/s2.tif
GAO20191020t161013p0000-B,31.0234005,-102.24419,2019-10-20T16:10:13+00,Oil & Gas (1B2),CH4,mfm,"[-102.24660049770408, 31.021344880750757, -102.24116892205356, 31.02603996749091]",GAO,production,2023-05-14 20:29:35.914607+00:00,2025-03-25 23:21:05.080642+00:00,jpl,,,,,66.7850492,20.3984467,1.34,,,,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t161013p0000-B/GAO20191020t161013p0000-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t161013p0000-B/GAO20191020t161013p0000-B_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2019/10/20/GAO20191020t161013p0000-B/GAO20191020t161013p0000-B_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t161013p0000-B/GAO20191020t161013p0000-B_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t161013p0000-B/GAO20191020t161013p0000-B_l3a-vis-ch4-mf-v002_rgb.png,carbon_mapper_data/CM_S2_L2A/GAO20191020t161013p0000-B/s2.tif
GAO20191020t163829p0000-A,31.845004,-101.7723,2019-10-20T16:38:29+00,Oil & Gas (1B2),CH4,mfm,"[-101.77540710669561, 31.843332029930266, -101.76688111105186, 31.850574527066836]",GAO,production,2023-05-14 20:28:40.224559+00:00,2025-03-25 23:19:36.498165+00:00,jpl,,,,,1827.84302,642.946341,5.347,,,,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t163829p0000-A/GAO20191020t163829p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t163829p0000-A/GAO20191020t163829p0000-A_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2019/10/20/GAO20191020t163829p0000-A/GAO20191020t163829p0000-A_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t163829p0000-A/GAO20191020t163829p0000-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t163829p0000-A/GAO20191020t163829p0000-A_l3a-vis-ch4-mf-v002_rgb.png,carbon_mapper_data/CM_S2_L2A/GAO20191020t163829p0000-A/s2.tif
GAO20191020t163829p0000-B,31.8299163,-101.80811,2019-10-20T16:38:29+00,Oil & Gas (1B2),CH4,mfm,"[-101.81039130388783, 31.82823020063134, -101.8049144945338, 31.832923822283036]",GAO,production,2023-05-14 20:31:24.163250+00:00,2025-03-25 23:23:32.346919+00:00,jpl,,,,,221.239435,89.7570812,5.338,,,,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t163829p0000-B/GAO20191020t163829p0000-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t163829p0000-B/GAO20191020t163829p0000-B_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2019/10/20/GAO20191020t163829p0000-B/GAO20191020t163829p0000-B_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t163829p0000-B/GAO20191020t163829p0000-B_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/20/GAO20191020t163829p0000-B/GAO20191020t163829p0000-B_l3a-vis-ch4-mf-v002_rgb.png,carbon_mapper_data/CM_S2_L2A/GAO20191020t163829p0000-B/s2.tif
