plume_id,ok,safe,tile,sensing,out_abs,out_rel,shift_row_px,shift_col_px,missing_bands,idx,reason,ref,row,col,h,w
GAO20191020t151740p0000-A,1,S2A_MSIL2A_20191010T172231_N0500_R012_T14RKV_20230614T022721.SAFE,T14RKV,20191010T172231,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t151740p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t151740p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",0,,,,,,
GAO20191020t153619p0000-D,1,S2A_MSIL2A_20191010T172231_N0500_R012_T14RKV_20230614T022721.SAFE,T14RKV,20191010T172231,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-D/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-D/s2_-7.tif,0.0,0.0,"B09,B10",4,,,,,,
GAO20191020t153619p0000-B,1,S2A_MSIL2A_20191010T172231_N0500_R012_T14RKV_20230614T022721.SAFE,T14RKV,20191010T172231,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-B/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-B/s2_-7.tif,0.0,0.0,"B09,B10",2,,,,,,
GAO20191020t153619p0000-C,1,S2A_MSIL2A_20191010T172231_N0500_R012_T14RKV_20230614T022721.SAFE,T14RKV,20191010T172231,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-C/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-C/s2_-7.tif,0.0,0.0,"B09,B10",3,,,,,,
GAO20191020t163829p0000-C,1,S2B_MSIL2A_20191018T173329_N0500_R055_T14SKA_20230614T171342.SAFE,T14SKA,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t163829p0000-C/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t163829p0000-C/s2_-7.tif,0.0,0.0,"B09,B10",10,,,,,,
GAO20191020t161013p0000-A,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13RGQ_20230614T171342.SAFE,T13RGQ,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t161013p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t161013p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",6,,,,,,
GAO20191020t153619p0000-A,1,S2A_MSIL2A_20191010T172231_N0500_R012_T13RGQ_20230614T022721.SAFE,T13RGQ,20191010T172231,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",1,,,,,,
GAO20191020t161013p0000-B,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13RGQ_20230614T171342.SAFE,T13RGQ,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t161013p0000-B/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t161013p0000-B/s2_-7.tif,0.0,0.0,"B09,B10",7,,,,,,
GAO20191020t155133p0000-A,1,S2A_MSIL2A_20191010T172231_N0500_R012_T14RKV_20230614T022721.SAFE,T14RKV,20191010T172231,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t155133p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t155133p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",5,,,,,,
GAO20191020t163829p0000-A,1,S2A_MSIL2A_20191010T172231_N0500_R012_T14SKA_20230614T022721.SAFE,T14SKA,20191010T172231,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t163829p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t163829p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",8,,,,,,
