plume_id,ok,reason,event_datetime,lat,lon,s2_path,s2_minus7_id,s2_minus7_product_name,s2_minus7_datetime,raw_dir_exists,crop_ok,crop_reason,bug,s2_t0_std_512,s2_minus7_std_512,s2_minus90_std_512,s2_minus360_std_512
GAO20191020t163829p0000-A,1,,2019-10-20T16:38:29+00:00,31.845004,-101.7723,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t163829p0000-A/s2.tif,beb4ddfe-2af8-4e63-b207-0401e62ed726,S2A_MSIL2A_20191010T172231_N0500_R012_T14SKA_20230614T022721.SAFE,2019-10-10T17:22:31.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-A/s2_-7_std_512.tif,,
GAO20191020t155133p0000-A,1,,2019-10-20T15:51:33+00:00,31.0629493,-101.50558,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t155133p0000-A/s2.tif,30e48186-dc9c-4d6a-bb1f-31c8f873a06b,S2A_MSIL2A_20191010T172231_N0500_R012_T14RKV_20230614T022721.SAFE,2019-10-10T17:22:31.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t155133p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t155133p0000-A/s2_-7_std_512.tif,,
GAO20191020t153619p0000-C,1,,2019-10-20T15:36:19+00:00,31.0748638,-101.39618,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-C/s2.tif,30e48186-dc9c-4d6a-bb1f-31c8f873a06b,S2A_MSIL2A_20191010T172231_N0500_R012_T14RKV_20230614T022721.SAFE,2019-10-10T17:22:31.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-C/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-C/s2_-7_std_512.tif,,
GAO20191020t163829p0000-C,1,,2019-10-20T16:38:29+00:00,31.826375,-102.10681,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t163829p0000-C/s2.tif,e993e370-ad21-4f1e-a570-2d9dce917ffb,S2B_MSIL2A_20191018T173329_N0500_R055_T14SKA_20230614T171342.SAFE,2019-10-18T17:33:29.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-C/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-C/s2_-7_std_512.tif,,
GAO20191020t163829p0000-B,1,,2019-10-20T16:38:29+00:00,31.8299163,-101.80811,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t163829p0000-B/s2.tif,beb4ddfe-2af8-4e63-b207-0401e62ed726,S2A_MSIL2A_20191010T172231_N0500_R012_T14SKA_20230614T022721.SAFE,2019-10-10T17:22:31.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-B/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-B/s2_-7_std_512.tif,,
GAO20191020t153619p0000-D,1,,2019-10-20T15:36:19+00:00,31.087929,-101.34022,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-D/s2.tif,30e48186-dc9c-4d6a-bb1f-31c8f873a06b,S2A_MSIL2A_20191010T172231_N0500_R012_T14RKV_20230614T022721.SAFE,2019-10-10T17:22:31.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-D/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-D/s2_-7_std_512.tif,,
GAO20191020t161013p0000-A,1,,2019-10-20T16:10:13+00:00,31.0243397,-102.24257,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t161013p0000-A/s2.tif,4578bfc0-f90b-4d17-89cd-ca7b84a6fc90,S2B_MSIL2A_20191018T173329_N0500_R055_T13RGQ_20230614T171342.SAFE,2019-10-18T17:33:29.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t161013p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t161013p0000-A/s2_-7_std_512.tif,,
GAO20191020t151740p0000-A,1,,2019-10-20T15:17:40+00:00,31.087769,-101.34025,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t151740p0000-A/s2.tif,30e48186-dc9c-4d6a-bb1f-31c8f873a06b,S2A_MSIL2A_20191010T172231_N0500_R012_T14RKV_20230614T022721.SAFE,2019-10-10T17:22:31.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t151740p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t151740p0000-A/s2_-7_std_512.tif,,
GAO20191020t153619p0000-B,1,,2019-10-20T15:36:19+00:00,31.062984,-101.50541,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t153619p0000-B/s2.tif,30e48186-dc9c-4d6a-bb1f-31c8f873a06b,S2A_MSIL2A_20191010T172231_N0500_R012_T14RKV_20230614T022721.SAFE,2019-10-10T17:22:31.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-B/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t153619p0000-B/s2_-7_std_512.tif,,
GAO20191020t163829p0000-D,1,,2019-10-20T16:38:29+00:00,31.826343,-102.11335,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t163829p0000-D/s2.tif,0525c139-5c9c-4e48-9f97-c157396701e7,S2B_MSIL2A_20191018T173329_N0500_R055_T13SGR_20230614T171342.SAFE,2019-10-18T17:33:29.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-D/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-D/s2_-7_std_512.tif,,
GAO20191020t161013p0000-B,1,,2019-10-20T16:10:13+00:00,31.0234005,-102.24419,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t161013p0000-B/s2.tif,4578bfc0-f90b-4d17-89cd-ca7b84a6fc90,S2B_MSIL2A_20191018T173329_N0500_R055_T13RGQ_20230614T171342.SAFE,2019-10-18T17:33:29.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t161013p0000-B/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t161013p0000-B/s2_-7_std_512.tif,,
