plume_id,lat,lon,matched_safe,tile,sensing_time,matched_jp2,out_tif,missing_bands
GAO20191019t145209p0000-A,31.450855,-101.75815,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,T14RKV,20191018T173329,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/GAO20191019t145209p0000-A/s2_recut_12x512_georef.tif,"B09,B10"
GAO20191019t151221p0000-A,31.4175117,-102.16486,S2B_MSIL2A_20191018T173329_N0500_R055_T13RGQ_20230614T171342.SAFE,T13RGQ,20191018T173329,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T13RGQ_20230614T171342.SAFE/T13RGQ_20191018T173329_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/GAO20191019t151221p0000-A/s2_recut_12x512_georef.tif,"B09,B10"
GAO20191019t151221p0000-B,31.410972,-102.07123,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,T14RKV,20191018T173329,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/GAO20191019t151221p0000-B/s2_recut_12x512_georef.tif,"B09,B10"
GAO20191019t151221p0000-C,31.423484,-101.55237,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,T14RKV,20191018T173329,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/GAO20191019t151221p0000-C/s2_recut_12x512_georef.tif,"B09,B10"
GAO20191019t152720p0000-A,31.39041,-101.61676,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,T14RKV,20191018T173329,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/GAO20191019t152720p0000-A/s2_recut_12x512_georef.tif,"B09,B10"
GAO20191019t152720p0000-B,31.4093353,-101.49385,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,T14RKV,20191018T173329,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/GAO20191019t152720p0000-B/s2_recut_12x512_georef.tif,"B09,B10"
GAO20191019t152720p0000-C,31.395219,-101.46958,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,T14RKV,20191018T173329,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/GAO20191019t152720p0000-C/s2_recut_12x512_georef.tif,"B09,B10"
GAO20191019t152720p0000-D,31.3979345,-101.42775,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,T14RKV,20191018T173329,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/GAO20191019t152720p0000-D/s2_recut_12x512_georef.tif,"B09,B10"
GAO20191019t154751p0000-B,31.362841,-102.0637,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,T14RKV,20191018T173329,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/GAO20191019t154751p0000-B/s2_recut_12x512_georef.tif,"B09,B10"
GAO20191019t154751p0000-C,31.370677,-101.75712,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,T14RKV,20191018T173329,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/GAO20191019t154751p0000-C/s2_recut_12x512_georef.tif,"B09,B10"
