plume_id,datetime,lat,lon,matched_safe,matched_sensing_time,matched_jp2
GAO20191019t145209p0000-A,2019-10-19T14:52:09+00:00,31.450855,-101.75815,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t151221p0000-A,2019-10-19T15:12:21+00:00,31.4175117,-102.16486,S2B_MSIL2A_20191018T173329_N0500_R055_T13RGQ_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T13RGQ_20230614T171342.SAFE/T13RGQ_20191018T173329_B11_20m.jp2
GAO20191019t151221p0000-B,2019-10-19T15:12:21+00:00,31.410972,-102.07123,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t151221p0000-C,2019-10-19T15:12:21+00:00,31.423484,-101.55237,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t152720p0000-A,2019-10-19T15:27:20+00:00,31.39041,-101.61676,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t152720p0000-B,2019-10-19T15:27:20+00:00,31.4093353,-101.49385,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t152720p0000-C,2019-10-19T15:27:20+00:00,31.395219,-101.46958,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t152720p0000-D,2019-10-19T15:27:20+00:00,31.3979345,-101.42775,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t154751p0000-A,2019-10-19T15:47:51+00:00,31.367243,-102.14623,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t154751p0000-B,2019-10-19T15:47:51+00:00,31.362841,-102.0637,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t154751p0000-C,2019-10-19T15:47:51+00:00,31.370677,-101.75712,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t160217p0000-A,2019-10-19T16:02:17+00:00,31.345644,-102.12144,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
