plume_id,datetime,plume_latitude,plume_longitude,s2_path,s2_90_path,s2_360_path,plume_path,reprojected_path,resized_512x512_path,s2_path_std,s2_90_path_std,s2_360_path_std
GAO20191020t151740p0000-A,2019-10-20T15:17:40+00,31.087769,-101.34025,/data2/yuyao/methane_emission/carbonmapper_data_s2_l2a_complement_by_gee/GAO20191020t151740p0000-A_s2.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t151740p0000-A/GAO20191020t151740p0000-A_reference_month.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t151740p0000-A/GAO20191020t151740p0000-A_reference_year.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t151740p0000-A/plume.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t151740p0000-A/reprojected.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t151740p0000-A/resized_512x512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t151740p0000-A/s2_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t151740p0000-A/s2_90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t151740p0000-A/s2_360_std_512.tif
GAO20191020t153619p0000-A,2019-10-20T15:36:19+00,31.058043,-101.86319,/data2/yuyao/methane_emission/carbonmapper_data_s2_l2a_complement_by_gee/GAO20191020t153619p0000-A_s2.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-A/GAO20191020t153619p0000-A_reference_month.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-A/GAO20191020t153619p0000-A_reference_year.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-A/plume.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-A/reprojected.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-A/resized_512x512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t153619p0000-A/s2_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t153619p0000-A/s2_90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t153619p0000-A/s2_360_std_512.tif
GAO20191020t153619p0000-B,2019-10-20T15:36:19+00,31.062984,-101.50541,/data2/yuyao/methane_emission/carbonmapper_data_s2_l2a_complement_by_gee/GAO20191020t153619p0000-B_s2.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-B/GAO20191020t153619p0000-B_reference_month.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-B/GAO20191020t153619p0000-B_reference_year.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-B/plume.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-B/reprojected.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-B/resized_512x512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t153619p0000-B/s2_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t153619p0000-B/s2_90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t153619p0000-B/s2_360_std_512.tif
GAO20191020t153619p0000-C,2019-10-20T15:36:19+00,31.0748638,-101.39618,/data2/yuyao/methane_emission/carbonmapper_data_s2_l2a_complement_by_gee/GAO20191020t153619p0000-C_s2.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-C/GAO20191020t153619p0000-C_reference_month.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-C/GAO20191020t153619p0000-C_reference_year.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-C/plume.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-C/reprojected.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-C/resized_512x512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t153619p0000-C/s2_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t153619p0000-C/s2_90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t153619p0000-C/s2_360_std_512.tif
GAO20191020t153619p0000-D,2019-10-20T15:36:19+00,31.087929,-101.34022,/data2/yuyao/methane_emission/carbonmapper_data_s2_l2a_complement_by_gee/GAO20191020t153619p0000-D_s2.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-D/GAO20191020t153619p0000-D_reference_month.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-D/GAO20191020t153619p0000-D_reference_year.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-D/plume.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-D/reprojected.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-D/resized_512x512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t153619p0000-D/s2_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t153619p0000-D/s2_90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t153619p0000-D/s2_360_std_512.tif
GAO20191020t155133p0000-A,2019-10-20T15:51:33+00,31.0629493,-101.50558,/data2/yuyao/methane_emission/carbonmapper_data_s2_l2a_complement_by_gee/GAO20191020t155133p0000-A_s2.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t155133p0000-A/GAO20191020t155133p0000-A_reference_month.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t155133p0000-A/GAO20191020t155133p0000-A_reference_year.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t155133p0000-A/plume.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t155133p0000-A/reprojected.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t155133p0000-A/resized_512x512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t155133p0000-A/s2_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t155133p0000-A/s2_90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t155133p0000-A/s2_360_std_512.tif
GAO20191020t161013p0000-A,2019-10-20T16:10:13+00,31.0243397,-102.24257,/data2/yuyao/methane_emission/carbonmapper_data_s2_l2a_complement_by_gee/GAO20191020t161013p0000-A_s2.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t161013p0000-A/GAO20191020t161013p0000-A_reference_month.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t161013p0000-A/GAO20191020t161013p0000-A_reference_year.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t161013p0000-A/plume.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t161013p0000-A/reprojected.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t161013p0000-A/resized_512x512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t161013p0000-A/s2_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t161013p0000-A/s2_90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t161013p0000-A/s2_360_std_512.tif
GAO20191020t161013p0000-B,2019-10-20T16:10:13+00,31.0234005,-102.24419,/data2/yuyao/methane_emission/carbonmapper_data_s2_l2a_complement_by_gee/GAO20191020t161013p0000-B_s2.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t161013p0000-B/GAO20191020t161013p0000-B_reference_month.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t161013p0000-B/GAO20191020t161013p0000-B_reference_year.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t161013p0000-B/plume.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t161013p0000-B/reprojected.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t161013p0000-B/resized_512x512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t161013p0000-B/s2_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t161013p0000-B/s2_90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t161013p0000-B/s2_360_std_512.tif
GAO20191020t163829p0000-A,2019-10-20T16:38:29+00,31.845004,-101.7723,/data2/yuyao/methane_emission/carbonmapper_data_s2_l2a_complement_by_gee/GAO20191020t163829p0000-A_s2.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t163829p0000-A/GAO20191020t163829p0000-A_reference_month.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t163829p0000-A/GAO20191020t163829p0000-A_reference_year.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t163829p0000-A/plume.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t163829p0000-A/reprojected.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t163829p0000-A/resized_512x512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t163829p0000-A/s2_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t163829p0000-A/s2_90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t163829p0000-A/s2_360_std_512.tif
GAO20191020t163829p0000-B,2019-10-20T16:38:29+00,31.8299163,-101.80811,/data2/yuyao/methane_emission/carbonmapper_data_s2_l2a_complement_by_gee/GAO20191020t163829p0000-B_s2.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t163829p0000-B/GAO20191020t163829p0000-B_reference_month.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t163829p0000-B/GAO20191020t163829p0000-B_reference_year.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t163829p0000-B/plume.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t163829p0000-B/reprojected.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t163829p0000-B/resized_512x512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t163829p0000-B/s2_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t163829p0000-B/s2_90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191020t163829p0000-B/s2_360_std_512.tif
