plume_id,lat,lon,plume_time,S5p_path,s5p_minus90_path,s5p_minus360_path,proc_0,proc_90,proc_360,need_offsets,in_triplet,s5p_minus90_offl_datetime,s5p_minus90_offl_path,s5p_minus90_offl_name,s5p_minus360_offl_datetime,s5p_minus360_offl_path,s5p_minus360_offl_name,nearest_iy,nearest_ix,pos_centers,ch4_var
GAO20191019t145209p0000-A,31.450855,-101.75815,2019-10-19T14:52:09+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191019T192023_20191019T210153_10448_01_010302_20191025T213811.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190720T193504_20190720T211634_09157_01_010302_20190726T213837.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181023T184844_20181023T203014_05326_03_020400_20221115T110625.nc,OFFL,OFFL,RPRO,360,False,,,,2018-11-28T19:32:36Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,2851,178,"2851,178;2850,178;2851,177;2851,179;2852,178;2850,177;2850,179;2852,177",methane_mixing_ratio_bias_corrected
GAO20191019t174717p0000-B,31.2271909,-102.10527,2019-10-19T17:47:17+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191019T192023_20191019T210153_10448_01_010302_20191025T213811.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190720T193504_20190720T211634_09157_03_020400_20221112T022137.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181023T184844_20181023T203014_05326_03_020400_20221115T110625.nc,OFFL,RPRO,RPRO,90;360,False,2019-07-21T19:37:33Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190721T191559_20190721T205729_09171_01_010302_20190727T212130.nc,S5P_OFFL_L2__CH4____20190721T191559_20190721T205729_09171_01_010302_20190727T212130.nc,2018-11-28T19:32:36Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,2847,175,"2847,175;2846,175;2847,174;2847,176;2848,175;2846,174;2846,176;2848,174",methane_mixing_ratio_bias_corrected
GAO20191019t191619p0000-B,31.124999,-101.74229,2019-10-19T19:16:19+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191019T192023_20191019T210153_10448_01_010302_20191025T213811.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190720T193504_20190720T211634_09157_01_010302_20190726T213837.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181024T182837_20181024T201205_05340_01_010202_20190112T014339.nc,OFFL,OFFL,RPRO,360,False,,,,2018-11-28T19:32:36Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,2844,178,"2844,178;2843,178;2844,177;2844,179;2845,178;2843,177;2843,179;2845,177",methane_mixing_ratio_bias_corrected
GAO20191022t150055p0000-E,32.214143,-103.70878,2019-10-22T15:00:55+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191021T184207_20191021T202337_10476_01_010302_20191027T211541.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190723T183750_20190723T201919_09199_03_020400_20221112T090130.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181026T193150_20181026T211518_05369_01_010301_20190517T100427.nc,OFFL,RPRO,RPRO,90;360,False,2019-07-24T18:40:19Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190724T181845_20190724T200014_09213_01_010302_20190730T200746.nc,S5P_OFFL_L2__CH4____20190724T181845_20190724T200014_09213_01_010302_20190730T200746.nc,2018-11-28T19:32:36Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,2922,53,"2922,53;2921,53;2922,52;2922,54;2923,53;2921,52;2921,54;2923,52",methane_mixing_ratio_bias_corrected
GAO20191022t150055p0000-G,32.200204,-103.68392,2019-10-22T15:00:55+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191021T184207_20191021T202337_10476_01_010302_20191027T211541.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190723T183750_20190723T201919_09199_01_010302_20190729T204514.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181026T193150_20181026T211518_05369_01_010301_20190517T100427.nc,OFFL,OFFL,RPRO,360,False,,,,2018-11-28T19:32:36Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,2922,53,"2922,53;2921,53;2922,52;2922,54;2923,53;2921,52;2921,54;2923,52",methane_mixing_ratio_bias_corrected
GAO20191022t151126p0000-C,32.046926,-103.9396,2019-10-22T15:11:26+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191022T182259_20191022T200428_10490_01_010302_20191028T205000.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190723T183750_20190723T201919_09199_03_020400_20221112T090130.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181026T193150_20181026T211518_05369_01_010301_20190517T100427.nc,OFFL,RPRO,RPRO,90;360,False,2019-07-24T18:40:19Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190724T181845_20190724T200014_09213_01_010302_20190730T200746.nc,S5P_OFFL_L2__CH4____20190724T181845_20190724T200014_09213_01_010302_20190730T200746.nc,2018-11-28T19:32:36Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,2962,18,"2962,18;2961,18;2962,17;2962,19;2963,18;2961,17;2961,19;2963,17",methane_mixing_ratio_bias_corrected
GAO20191022t151126p0000-D,32.050034,-104.05484,2019-10-22T15:11:26+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191021T184207_20191021T202337_10476_01_010302_20191027T211541.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190723T183750_20190723T201919_09199_01_010302_20190729T204514.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181026T193150_20181026T211518_05369_01_010301_20190517T100427.nc,OFFL,OFFL,RPRO,360,False,,,,2018-11-28T19:32:36Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,2922,49,"2922,49;2921,49;2922,48;2922,50;2923,49;2921,48;2921,50;2923,48",methane_mixing_ratio_bias_corrected
GAO20191022t151126p0000-E,32.042917,-103.94694,2019-10-22T15:11:26+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191022T182259_20191022T200428_10490_01_010302_20191028T205000.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190723T183750_20190723T201919_09199_03_020400_20221112T090130.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181026T193150_20181026T211518_05369_01_010301_20190517T100427.nc,OFFL,RPRO,RPRO,90;360,False,2019-07-24T18:40:19Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190724T181845_20190724T200014_09213_01_010302_20190730T200746.nc,S5P_OFFL_L2__CH4____20190724T181845_20190724T200014_09213_01_010302_20190730T200746.nc,2018-11-28T19:32:36Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,2962,18,"2962,18;2961,18;2962,17;2962,19;2963,18;2961,17;2961,19;2963,17",methane_mixing_ratio_bias_corrected
GAO20191022t151126p0000-G,32.020843,-104.30284,2019-10-22T15:11:26+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191021T184207_20191021T202337_10476_01_010302_20191027T211541.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190723T183750_20190723T201919_09199_03_020400_20221112T090130.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181026T193150_20181026T211518_05369_01_010301_20190517T100427.nc,OFFL,RPRO,RPRO,90;360,False,2019-07-24T18:40:19Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190724T181845_20190724T200014_09213_01_010302_20190730T200746.nc,S5P_OFFL_L2__CH4____20190724T181845_20190724T200014_09213_01_010302_20190730T200746.nc,2018-11-28T19:32:36Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,2923,47,"2923,47;2922,47;2923,46;2923,48;2924,47;2922,46;2922,48;2924,46",methane_mixing_ratio_bias_corrected
GAO20191022t151126p0000-H,32.048253,-104.06084,2019-10-22T15:11:26+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191021T184207_20191021T202337_10476_01_010302_20191027T211541.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190723T183750_20190723T201919_09199_03_020400_20221112T090130.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181026T193150_20181026T211518_05369_01_010301_20190517T100427.nc,OFFL,RPRO,RPRO,90;360,False,2019-07-24T18:40:19Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190724T181845_20190724T200014_09213_01_010302_20190730T200746.nc,S5P_OFFL_L2__CH4____20190724T181845_20190724T200014_09213_01_010302_20190730T200746.nc,2018-11-28T19:32:36Z,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,S5P_OFFL_L2__CH4____20181128T191103_20181128T205232_05837_01_010202_20181205T131651.nc,2922,49,"2922,49;2921,49;2922,48;2922,50;2923,49;2921,48;2921,50;2923,48",methane_mixing_ratio_bias_corrected
