plume_id,plume_time,lat,lon,s5p_minus360_path,s5p_minus90_path,S5p_path,proc_0,proc_90,proc_360,nearest_iy,nearest_ix,pos_centers,ch4_var
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190812T190154_20190812T204323_09483_01_010302_20190818T212634.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20200508T194120_20200508T212250_13314_01_010302_20200511T120646.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20200807T193355_20200807T211524_14605_01_010302_20200811T095907.nc,OFFL,OFFL,OFFL,2487,141,"2487,141;2486,141;2487,140;2487,142;2488,141;2486,140;2486,142;2488,140",methane_mixing_ratio_bias_corrected
GAO20200808t180538p0000-A,2020-08-08T18:05:38+00,33.51027601,-111.7731532,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190813T202417_20190813T220547_09498_01_010302_20190819T223150.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20200509T192222_20200509T210353_13328_01_010302_20200512T113043.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20200807T193355_20200807T211524_14605_01_010302_20200811T095907.nc,OFFL,OFFL,OFFL,2371,91,"2371,91;2370,91;2371,90;2371,92;2372,91;2370,90;2370,92;2372,90",methane_mixing_ratio_bias_corrected
GAO20230510t153600p0000-A,2023-05-10T15:36:00+00,43.090019735086685,-88.74962718850381,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220514T180009_20220514T194139_23755_02_020301_20220516T101207.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230208T182947_20230208T201117_27586_03_020400_20230210T104009.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230510T183431_20230510T201601_28877_03_020500_20230512T104720.nc,OFFL,OFFL,OFFL,2497,188,"2497,188;2496,188;2497,187;2497,189;2498,188;2496,187;2496,189;2498,187",methane_mixing_ratio_bias_corrected
GAO20230510t165025p0000-E,2023-05-10T16:50:25+00,42.65113362213447,-88.72848951185077,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220514T180009_20220514T194139_23755_02_020301_20220516T101207.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230208T182947_20230208T201117_27586_03_020400_20230210T104009.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230510T183431_20230510T201601_28877_03_020500_20230512T104720.nc,OFFL,OFFL,OFFL,2488,187,"2488,187;2487,187;2488,186;2488,188;2489,187;2487,186;2487,188;2489,186",methane_mixing_ratio_bias_corrected
GAO20230510t171739p0000-B,2023-05-10T17:17:39+00,43.186287137012044,-88.06990771571517,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220514T180009_20220514T194139_23755_02_020301_20220516T101207.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230208T182947_20230208T201117_27586_03_020400_20230210T104009.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230510T183431_20230510T201601_28877_03_020500_20230512T104720.nc,OFFL,OFFL,OFFL,2498,191,"2498,191;2497,191;2498,190;2499,191;2497,190;2499,190;2499,192",methane_mixing_ratio_bias_corrected
GAO20230511t155618p0000-A,2023-05-11T15:56:18+00,41.73492649153968,-89.39437354937279,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220515T174111_20220515T192241_23769_02_020301_20220517T095013.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230209T181051_20230209T195221_27600_03_020400_20230211T102258.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230510T183431_20230510T201601_28877_03_020500_20230512T104720.nc,OFFL,OFFL,OFFL,2469,182,"2469,182;2468,182;2469,181;2469,183;2470,182;2468,181;2468,183;2470,181",methane_mixing_ratio_bias_corrected
GAO20230620t192131p0000-A,2023-06-20T19:21:31+00,35.59760872237176,-118.96794901316564,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220624T201414_20220624T215544_24338_02_020301_20220626T121337.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230321T204731_20230321T222901_28169_03_020500_20230323T125301.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230620T204846_20230620T223016_29460_03_020500_20230622T125311.nc,OFFL,OFFL,OFFL,2236,196,"2236,196;2235,196;2236,195;2237,196;2235,195;2237,195",methane_mixing_ratio_bias_corrected
GAO20230621t182715p0000-A,2023-06-21T18:27:15+00,33.795525029516966,-117.46333002485024,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220625T195512_20220625T213642_24352_02_020301_20220627T115547.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230322T202838_20230322T221009_28183_03_020500_20230324T123215.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230621T202943_20230621T221113_29474_03_020500_20230623T123005.nc,OFFL,OFFL,OFFL,2201,173,"2201,173;2200,173;2201,172;2201,174;2202,173;2200,172;2200,174;2202,172",methane_mixing_ratio_bias_corrected
GAO20230621t185701p0000-B,2023-06-21T18:57:01+00,32.85398523541437,-117.16455660220323,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220625T195512_20220625T213642_24352_02_020301_20220627T115547.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230322T202838_20230322T221009_28183_03_020500_20230324T123215.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230621T202943_20230621T221113_29474_03_020500_20230623T123005.nc,OFFL,OFFL,OFFL,2181,174,"2181,174;2180,174;2181,173;2181,175;2182,174;2180,173;2180,175;2182,173",methane_mixing_ratio_bias_corrected
GAO20230622t181727p0000-A,2023-06-22T18:17:27+00,36.07373071886249,-119.4407200605892,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220626T193610_20220626T211740_24366_02_020301_20220628T113950.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230323T200946_20230323T215117_28197_03_020500_20230325T121540.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230622T201040_20230622T215209_29488_03_020500_20230624T121106.nc,OFFL,OFFL,OFFL,2263,107,"2263,107;2262,107;2263,106;2263,108;2264,107;2262,106;2262,108;2264,106",methane_mixing_ratio_bias_corrected
